순위,업소명,주소,분류,합산 검색 수,정보
34,스케줄청담,서울 강남구 선릉로152길 37-0,전문음식,27838,"https://map.naver.com/v5/search/%EC%8A%A4%EC%BC%80%EC%A4%84%EC%B2%AD%EB%8B%B4/place/1793289940?c=14142094.4764939,4512482.4653088,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
35,원조호수삼계탕본점,서울 영등포구 도림로 274-1,한식,27598,"https://map.naver.com/v5/search/%EC%9B%90%EC%A1%B0%ED%98%B8%EC%88%98%EC%82%BC%EA%B3%84%ED%83%95%EB%B3%B8%EC%A0%90/place/18674644?c=14126475.6159474,4509403.9701203,14,0,0,0,dh&isCorrectAnswer=true"
36,스타벅스서울웨이브아트센터점,서울 서초구 잠원로 145-35,카페/찻집,27100,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%84%9C%EC%9A%B8%EC%9B%A8%EC%9D%B4%EB%B8%8C%EC%95%84%ED%8A%B8%EC%84%BC%ED%84%B0%EC%A0%90/place/1264577661?c=14126475.6159474,4509403.9701203,14,0,0,0,dh&isCorrectAnswer=true"
37,진미평양냉면,서울 강남구 학동로 305-3,한식,26915,"https://map.naver.com/v5/search/%EC%A7%84%EB%AF%B8%ED%8F%89%EC%96%91%EB%83%89%EB%A9%B4/place/37912785?c=14141122.6313222,4511294.1782703,14,0,0,0,dh&isCorrectAnswer=true"
38,맥도날드양평SK DT점,서울 영등포구 선유로 195-0,간이음식,26480,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%96%91%ED%8F%89SK%20DT%EC%A0%90/place/1051347633?c=14125483.2484947,4513368.2673377,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
39,필동면옥,서울 중구 서애로 26-0,한식,26291,"https://map.naver.com/v5/search/%ED%95%84%EB%8F%99%EB%A9%B4%EC%98%A5/place/11678838?c=14136767.0681914,4517506.0254148,14,0,0,0,dh&isCorrectAnswer=true"
40,스타벅스송파나루역DT점,서울 송파구 오금로 142-0,카페/찻집,25723,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%86%A1%ED%8C%8C%EB%82%98%EB%A3%A8%EC%97%ADDT%EC%A0%90/place/1866649037?c=14149617.1693829,4510545.9239310,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
41,경리단길,서울 용산구,음식점기타,25463,"https://map.naver.com/v5/search/%EA%B2%BD%EB%A6%AC%EB%8B%A8%EA%B8%B8/place/32323239?c=14136413.9764619,4514616.0915398,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
42,삼원가든본점,서울 강남구 언주로 835-0,한식,25291,"https://map.naver.com/v5/search/%EC%82%BC%EC%9B%90%EA%B0%80%EB%93%A0/place/11718583?c=14140965.7747810,4512494.2556719,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
43,봉피양방이점,서울 송파구 양재대로71길 1-4,한식,25063,"https://map.naver.com/v5/search/%EB%B4%89%ED%94%BC%EC%96%91%EB%B0%A9%EC%9D%B4%EC%A0%90/place/11861413?c=14151348.7106661,4510481.5803322,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
